dispositivo;ecoPredicted;ecoPuntuacion
Xiaomi Mi Pad 4;1;51
Dell Latitude 7202;1;61
Playstation 3;1;61
Microsoft Xbox 360;1;61
HP OfficeJet Pro;1;59
Brother MFC-9970CDW;1;61
Xpress M288OFW;1;61
Pebble Smartwatch;1;61
Apple Watch Ultra;1;60
Lenovo ThinkPad T440s;1;61
Lenovo ThinkPad W541;1;61
Apple Mac Mini;1;61
ASUS ROG Zephyrus M GM501GS;1;61
ASUSTek ZenBook Pro Due 15 UX582;1;59
Lenovo Yoga;1;61
Lenovo Flex;1;61
Lenovo Miix;1;61
Lenovo ThinkPad T460p;1;61
Lenovo ThinkPad T495;1;61
Lenovo ThinkPad X395;1;61
Lenovo ThinkPad A485;1;61
Lenovo ThinkPad A285;1;61
Lenovo ThinkPad A475;1;61
Lenovo ThinkPad A275;1;61
Thinkpad X1 Fold Gen 1;1;61
ASUS VivoMini;1;61
Dell XPS 13 9370;1;62
Dell XPS 13 2-in-1;1;62
Dell Latitude Z600;1;61
Dell Precision 7920;1;61
Dell Precision 7910;1;61
Dell Inspiron 5675;1;61
Dell Optiplex;1;61
Dell Latitude 2110;1;61
HP ElitePad 900;1;61
Dell Latitude E6430;1;61
HP EliteBook 850;1;61
iPhone 12;1;60
iPhone 13;1;62
Samsung Galaxy S5;1;67
Huawei Mate 20;1;59
Xiaomi Mi A1;1;51
Xiaomi MIX 2;1;55
Xiaomi MIX 3;1;55
Xiaomi 5S Plus;1;55
Xiaomi Mi Note 2;1;54
Xiaomi Redmi 6 Pro;1;54
Xiaomi Redmi Note 6 Pro;1;56
Huawei Honor 4C;1;61
Huawei Honor 6;1;61
Huawei Mate S;1;59
Huawei P9;1;59
Huawei Honor 7;1;61
Huawei Honor 5C;1;61
Huawei P9 Lite;1;59
Huawei Honor 8 Lite;1;60
Huawei P10;1;59
Huawei P10 Plus;1;59
Huawei Honor 5S;1;61
Huawei Honor 10;1;60
Huawei HONOR 20 PRO;1;59
HUAWEI Mate 20;1;59
Huawei Honor V10;1;61
Huawei Honor V20;1;61
Samsung S2 Galaxy;1;67
Samsung Galaxy Note 2;1;69
Samsung Galaxy S4;1;67
Samsung Galaxy S7;1;67
Samsung Galaxy S6;1;67
Samsung Galaxy S9;1;67
Samsung Galaxy S10;1;67
Samsung Note10;1;68
Samsung A3;1;68
Samsung A5;1;68
Samsung A7;1;68
Samsung A8+;1;68
Samsung XCover4;1;68
Samsung J5;1;68
Samsung S7 Edge;1;65
Samsung J7 Neo;1;67
Iphone 5;1;61
Iphone 7;1;61
Iphone 8;1;61
Iphone 9;1;61
Iphone 10;1;61
Iphone 11;1;60
ASUS ZenFone 3 Max;1;61
Asus ZenFone Max 4;1;61
Asus ZenFone 5Q;1;61
Asus ZenFone 3s Max;1;61
Asus ZenFone 3 Laser;1;61
Samsung Smart TV X10P;1;68
Samsung Smart TV X12;1;68
Samsung Smart TV X14H;1;68
Samsung Smart TV X14J;1;68
Samsung Smart TV NT14U;1;68
TCL Android Smart TV V8-R851T02-LF1;1;58
TV Vizio P65;1;61
TV Vizio E50x;1;61
BRAVIA Smart TV;1;61
Samsung D6000 TV;1;68
Samsung PS50C7700;1;68
Smart TV Box H96;1;61
Amazon Echo Dot;1;61
Google Home;1;61
JBL Go 2;1;61
SONY Wireless Headphones WF-1000X;1;61
JBL TUNE500BT;1;61
TPLink Tapo L530;1;61
Philips Smart Wi-Fi Wiz Connected;1;61
Radio Thermostat CT80;1;61
Radio Thermostat CT50;1;61
TP-LINK ARCHER C50;1;61
Alcatel-Lucent CellPipe 7130;1;62
Huawei HG8247;1;59
Huawei Honor Cube WS860;1;61
ASUS RT-AC68U;1;61
ASUS RT-N56U;1;61
ASUS DSL-AC51;1;61
ASUS RT-AC1200HP;1;61
ASUS ROG Rapture GT-AX11000;1;61
Ayision Ays-WR01;1;61
Intelbras NPLUG;1;61
TP-Link Tapo C200;1;61
Geutebruck G-Cam/EFD-2250;1;61
ADC-V522IR;1;61
ABUS Secvest FUAA50000;1;61
Chuango 433 MHz burglar-alarm;1;61
Tinxy Door Lock;1;61
Nokelock Smart padlock O1;1;61
FLIR AX8;1;61
Tollgrade SmartGrid LightHouse Sensor;1;61
Dongguan Diqee Diqee360;1;61
Jisiwei i3;1;61
Rittal Chiller SK 3232-Series;1;61
Sophos Cyberoam;1;61
Finjan Vital Security Appliance 5100;1;61
Innominate mGuard Smart HW;1;61
Samsung SHR-5162;1;68
Samsung Exynos;1;68
Samsung 850 Pro;1;65
Seagate ST500LT015;1;61
Seagate ST500LT025;1;61
Dell 3000cn;1;61